mid,text,filename
m_z--3jLqIJyjiA9CiBzc1-DobDtonK2n3520rCwXQPtmO6WHgl01ycY3qAzPvmY4oaQ8mFHi-XDJ-RUSpJXJSTg,My knees ajili,/app/app/static/audioclip-1653373993000-1997.wav
m_yWPO_ruMU_2tCwPEPZ3vVjobDtonK2n3520rCwXQPtm6kR5kab3-j3xPWKUuFxCM8FF-HYD93Hg-MPJRBcqjMw,"Navji kobada, Alisha.",/app/app/static/audioclip-1653374132000-3762.wav
m_CeYUlEXmOfbQmsZekjflSjobDtonK2n3520rCwXQPtmNeqjxRE71C_-NyQ07LWRzckIhML2w3EdII6U8grUKlA,Nataka kazinja SME.,/app/app/static/audioclip-1653377631000-3274.wav
m_qKiGgR_MfnIJlCXZXtuN9TobDtonK2n3520rCwXQPtmjkg53a9edPInT7D52P52fCBfyOUrTD2RqvHMYZHEmCA,8A chukua modigliani,/app/app/static/audioclip-1653377802000-3762.wav
m_q3d_ihhWDXcYASqvTM0g5j38TlQ52mIQhHkZguCQeIN3Dsl-ZoKogkb7UT1RdWNY11Wv8Tk5QR-utQt8hG8T-w,Jambo,/app/app/static/audioclip-1653381096000-2262.wav
m_gnYKciAb6JqtVB-oyD-DJT38TlQ52mIQhHkZguCQeINyUhXCbos0MfIDBJfdLHcyJkJmvP4IZcoPtEpOPE9Kbw,What is a business name?,/app/app/static/audioclip-1653381171000-3200.wav
m_Vx1Wl13Jf9p8wHsrvTjWpD38TlQ52mIQhHkZguCQeIOwSlAGFP8y1U7J6GFdtBuAv5uMK3SLRnA209inBDHhmA,Yes.,/app/app/static/audioclip-1653381661000-2262.wav
m_-U3L51QV9vv6mhCFt4NV0zobDtonK2n3520rCwXQPtnFPx0UR-AeRWXDLw2I_---ROiabnLMJdT8cF7XY2WKoQ,How to register a business?,/app/app/static/audioclip-1653382212000-2531.wav
m_KzHdvAxnm0ar2NeUjyEm_D38TlQ52mIQhHkZguCQeINmlCNfQCUx9R_GR_MBRLHSWqrh5H527xknti5b6wL1ow,Jeena labia sharayah nguni,/app/app/static/audioclip-1653382299000-3542.wav
m_rz8e3_tudvcG_uahPpQapj38TlQ52mIQhHkZguCQeIOxdOf5GAsrAwmDTe8Hvl__mMu5llTuGQWb65TWsohSyA,GN a la biashara Yang Huni.,/app/app/static/audioclip-1653382380000-5504.wav
m_stbh0rP_lIpYxWrn4AshfDobDtonK2n3520rCwXQPtmlWlPa_qmkb2YSGP5j0UJZGEeRMoKlVEjFBhxpm2VNfA,Gina Labia Shara young guni,/app/app/static/audioclip-1653384497000-2694.wav
m_zOYeKjBo9nfglsFqmmi71TobDtonK2n3520rCwXQPtleC9lVFSMOAv3ox1mAfiS5Xr5OW3inGrkmayo1agnQLw,General Abesha rakosa Chiellini.,/app/app/static/audioclip-1653384565000-4993.wav
